availability;description;brand;name;id;price;category;images;quantity
10 dni;Producent: Lutec  <br>Nazwa: LONDON  <br>Symbol: 9700359330  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 449<br>  * szerokość (mm): 280<br>  * głębokość (mm): 280<br>  * ilość źródeł / rodzaj trzonka: nie dotyczy<br>  * max moc źródła: 0 W<br>  * napięcie: 0<br>  * źródło w zestawie: brak<br>  * kolor lampy: Czarny<br>  * materiał: tworzywo<br>  * IP: 0<br><br><br><br><br> Specyficzne kody<br>;Lutec;LONDON STOJĄCA;8855;180.81;Stojące zewnętrzne;https://jasniej.com/19798-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19799-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19800-thickbox_01resp/london-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: SOLSTEL - CZUJNIK RUCHU  <br>Symbol: 6907903001  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 70<br>  * głębokość (mm): 122<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 150lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Stalowy<br>  * materiał: stal nierdzewna/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;SOLSTEL - CZUJNIK RUCHU STOJĄCA;8849;270.6;Stojące zewnętrzne;https://jasniej.com/19780-thickbox_01resp/solstel-czujnik-ruchu-stojaca.jpg, https://jasniej.com/19781-thickbox_01resp/solstel-czujnik-ruchu-stojaca.jpg, https://jasniej.com/19782-thickbox_01resp/solstel-czujnik-ruchu-stojaca.jpg;7
10 dni;Producent: Lutec  <br>Nazwa: DISO  <br>Symbol: 6906703335  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 145<br>  * szerokość (mm): 175<br>  * głębokość (mm): 160<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Szary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;DISO STOJĄCA;8847;226.32;Stojące zewnętrzne;https://jasniej.com/19774-thickbox_01resp/diso-stojaca.jpg, https://jasniej.com/19775-thickbox_01resp/diso-stojaca.jpg, https://jasniej.com/19776-thickbox_01resp/diso-stojaca.jpg;7
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8838;180.81;Stojące zewnętrzne;https://jasniej.com/19747-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19748-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19749-thickbox_01resp/dragonfly-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8837;180.81;Stojące zewnętrzne;https://jasniej.com/19744-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19745-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19746-thickbox_01resp/dragonfly-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8836;180.81;Stojące zewnętrzne;https://jasniej.com/19741-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19742-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19743-thickbox_01resp/dragonfly-stojaca.jpg;5
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;PADLIGHT STOJĄCA;8834;180.81;Stojące zewnętrzne;https://jasniej.com/19735-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19736-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19737-thickbox_01resp/padlight-stojaca.jpg;2
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8835;158.67;Stojące zewnętrzne;https://jasniej.com/19738-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19739-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19740-thickbox_01resp/dragonfly-stojaca.jpg;2
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;PADLIGHT STOJĄCA;8833;180.81;Stojące zewnętrzne;https://jasniej.com/19732-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19733-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19734-thickbox_01resp/padlight-stojaca.jpg;8
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908002337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8831;158.67;Stojące zewnętrzne;https://jasniej.com/19726-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19727-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19728-thickbox_01resp/table-cube-stojaca.jpg;2
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;PADLIGHT STOJĄCA;8832;180.81;Stojące zewnętrzne;https://jasniej.com/19729-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19730-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19731-thickbox_01resp/padlight-stojaca.jpg;2
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908003331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 0K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8830;114.39;Stojące zewnętrzne;https://jasniej.com/19723-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19724-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19725-thickbox_01resp/table-cube-stojaca.jpg;3
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8828;103.32;Stojące zewnętrzne;https://jasniej.com/19717-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19718-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19719-thickbox_01resp/table-cube-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8827;103.32;Stojące zewnętrzne;https://jasniej.com/19714-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19715-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19716-thickbox_01resp/table-cube-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8829;103.32;Stojące zewnętrzne;https://jasniej.com/19720-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19721-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19722-thickbox_01resp/table-cube-stojaca.jpg;9
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8826;103.32;Stojące zewnętrzne;https://jasniej.com/19711-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19712-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19713-thickbox_01resp/table-cube-stojaca.jpg;7
10 dni;Producent: Lutec  <br>Nazwa: CATE  <br>Symbol: 7264230213  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 190<br>  * szerokość (mm): 430<br>  * głębokość (mm): 430<br>  * ilość źródeł / rodzaj trzonka: 3 x E27 60W<br>  * max moc źródła: 60 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Matowa rdza<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;CATE STOJĄCA;8821;630.99;Stojące zewnętrzne;https://jasniej.com/19696-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19697-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19698-thickbox_01resp/cate-stojaca.jpg;5
10 dni;Producent: Lutec  <br>Nazwa: CATE  <br>Symbol: 7264210213  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 945<br>  * szerokość (mm): 265<br>  * głębokość (mm): 176<br>  * ilość źródeł / rodzaj trzonka: 1 x E27 60W<br>  * max moc źródła: 60 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Matowa rdza<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;CATE STOJĄCA;8822;248.46;Stojące zewnętrzne;https://jasniej.com/19699-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19700-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19701-thickbox_01resp/cate-stojaca.jpg;2
10 dni;Producent: Lutec  <br>Nazwa: KELSEY  <br>Symbol: 7273602012  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 400<br>  * szerokość (mm): 150<br>  * głębokość (mm): 170<br>  * ilość źródeł / rodzaj trzonka: 1 x E27 40W<br>  * max moc źródła: 40 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Czarny mat<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br><br><br> Specyficzne kody<br>;Lutec;KELSEY STOJĄCA;8820;180.81;Stojące zewnętrzne;https://jasniej.com/19693-thickbox_01resp/kelsey-stojaca.jpg, https://jasniej.com/19694-thickbox_01resp/kelsey-stojaca.jpg, https://jasniej.com/19695-thickbox_01resp/kelsey-stojaca.jpg;5
10 dni;Producent: Lutec  <br>Nazwa: POPPY  <br>Symbol: 6910802335  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 190<br>  * szerokość (mm): 48<br>  * głębokość (mm): 46<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 8W 500lm 3000K<br>  * max moc źródła: 8 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Szary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br><br><br> Specyficzne kody<br>;Lutec;POPPY STOJĄCA;8825;676.5;Stojące zewnętrzne;https://jasniej.com/19708-thickbox_01resp/poppy-stojaca.jpg, https://jasniej.com/19709-thickbox_01resp/poppy-stojaca.jpg, https://jasniej.com/19710-thickbox_01resp/poppy-stojaca.jpg;6
Wysyłamy w 3-4 dni;<br><br><br> Opis<br><br>Light source<br>    1 x E27 60W<br>Średnica<br>    180<br>Wysokość<br>    445<br>Kolor<br>    Czarny<br>;Maytoni;Abbey Road Landscape Lighting Black 1 x E2;19200;229.0;Stojące zewnętrzne;https://jasniej.com/72024-thickbox_01resp/abbey-road-landscape-lighting-black-1-x-e27-60w.jpg;7
Wysyłamy w 3-4 dni;<br><br><br> Opis<br><br>Light source<br>    1 x E27 60W<br>Średnica<br>    225<br>Wysokość<br>    1060<br>Kolor<br>    Czarny<br>;Maytoni;Rivoli Landscape Lighting Black 1 x E27 60;19194;515.0;Stojące zewnętrzne;https://jasniej.com/72016-thickbox_01resp/rivoli-landscape-lighting-black-1-x-e27-60w.jpg, https://jasniej.com/72017-thickbox_01resp/rivoli-landscape-lighting-black-1-x-e27-60w.jpg;4
Wysyłamy w 3-4 dni;<br><br><br> Opis<br><br>Light source<br>    1 x E27 60W<br>Średnica<br>    225<br>Wysokość<br>    1050<br>Kolor<br>    Brązowy<br>;Maytoni;Salamanca Landscape Lighting Brown 1 x E27;19191;593.0;Stojące zewnętrzne;https://jasniej.com/72008-thickbox_01resp/salamanca-landscape-lighting-brown-1-x-e27-60w.jpg, https://jasniej.com/72009-thickbox_01resp/salamanca-landscape-lighting-brown-1-x-e27-60w.jpg;7
Wysyłamy w 3-4 dni;Temperature- and corrosion-resistant metal frame. LED module.<br><br><br> Opis<br><br>Light source<br>    LED 370 LM<br>Średnica<br>    108<br>Wysokość<br>    500<br>Barwa światła<br>    3000<br>Kolor<br>    Czarny<br>;Maytoni;Landscape Lighting Wolseley Road LED 370 L;8619;353.0;Stojące zewnętrzne;https://jasniej.com/18535-thickbox_01resp/landscape-lighting-wolseley-road.jpg;8
Wysyłamy w 3-4 dni;Metal body. Resistant to thermal shock and corrosion.Glass diffuser. LED bulbs recommended.<br><br><br> Opis<br><br>Szerokość<br>    140<br>Light source<br>    1E27 60W<br>Light source<br>    1 x E27 60W<br>Wysokość<br>    610-140<br>Wysokość<br>    610<br>Głębokość<br>    140<br>Kolor<br>    Czarny<br>;Maytoni;Landscape Lighting Unter den Linden 1E27 6;8599;381.0;Stojące zewnętrzne;https://jasniej.com/17480-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/17481-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/18515-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/19316-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/19317-thickbox_01resp/landscape-lighting-unter-den-linden.jpg;8
