availability;description;features;brand;name;id;price;categories;image;images
10 dni;Producent: Lutec  <br>Nazwa: EXPLORER  <br>Symbol: 6609205118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 430<br>  * szerokość (mm): 90<br>  * głębokość (mm): 91<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 7W 430lm 27006500K<br>  * max moc źródła: 7 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;EXPLORER STOJĄCA;8722;270.6;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'EXPLORER STOJĄCA';https://jasniej.com/19399-large_01resp/explorer-stojaca.jpg;'https://jasniej.com/19399-medium_01resp/explorer-stojaca.jpg', 'https://jasniej.com/19400-medium_01resp/explorer-stojaca.jpg', 'https://jasniej.com/19401-medium_01resp/explorer-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: LONDON  <br>Symbol: 6951301189  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 227<br>  * szerokość (mm): 310<br>  * głębokość (mm): 310<br>  * ilość źródeł / rodzaj trzonka: 3 x E12 6W 300lm 2700K<br>  * max moc źródła: 6 W<br>  * napięcie: 0<br>  * źródło w zestawie: E12<br>  * kolor lampy: Brązowy<br>  * materiał: aluminium/szkło<br>  * IP: 44;Specyficzne kody;Lutec;LONDON STOJĄCA;8856;811.8;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'LONDON STOJĄCA';https://jasniej.com/19801-large_01resp/london-stojaca.jpg;'https://jasniej.com/19801-medium_01resp/london-stojaca.jpg', 'https://jasniej.com/19802-medium_01resp/london-stojaca.jpg', 'https://jasniej.com/19803-medium_01resp/london-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: LONDON  <br>Symbol: 9700359330  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 449<br>  * szerokość (mm): 280<br>  * głębokość (mm): 280<br>  * ilość źródeł / rodzaj trzonka: nie dotyczy<br>  * max moc źródła: 0 W<br>  * napięcie: 0<br>  * źródło w zestawie: brak<br>  * kolor lampy: Czarny<br>  * materiał: tworzywo<br>  * IP: 0;Specyficzne kody;Lutec;LONDON STOJĄCA;8855;180.81;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'LONDON STOJĄCA';https://jasniej.com/19798-large_01resp/london-stojaca.jpg;'https://jasniej.com/19798-medium_01resp/london-stojaca.jpg', 'https://jasniej.com/19799-medium_01resp/london-stojaca.jpg', 'https://jasniej.com/19800-medium_01resp/london-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: SOLSTEL - CZUJNIK RUCHU  <br>Symbol: 6907903001  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 70<br>  * głębokość (mm): 122<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 150lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Stalowy<br>  * materiał: stal nierdzewna/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;SOLSTEL - CZUJNIK RUCHU STOJĄCA;8849;270.6;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'SOLSTEL - CZUJNIK RUCHU STOJĄCA';https://jasniej.com/19780-large_01resp/solstel-czujnik-ruchu-stojaca.jpg;'https://jasniej.com/19780-medium_01resp/solstel-czujnik-ruchu-stojaca.jpg', 'https://jasniej.com/19781-medium_01resp/solstel-czujnik-ruchu-stojaca.jpg', 'https://jasniej.com/19782-medium_01resp/solstel-czujnik-ruchu-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: DISO  <br>Symbol: 6906703335  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 145<br>  * szerokość (mm): 175<br>  * głębokość (mm): 160<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Szary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;DISO STOJĄCA;8847;226.32;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'DISO STOJĄCA';https://jasniej.com/19774-large_01resp/diso-stojaca.jpg;'https://jasniej.com/19774-medium_01resp/diso-stojaca.jpg', 'https://jasniej.com/19775-medium_01resp/diso-stojaca.jpg', 'https://jasniej.com/19776-medium_01resp/diso-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;DRAGONFLY STOJĄCA;8838;180.81;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'DRAGONFLY STOJĄCA';https://jasniej.com/19747-large_01resp/dragonfly-stojaca.jpg;'https://jasniej.com/19747-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19748-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19749-medium_01resp/dragonfly-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;DRAGONFLY STOJĄCA;8836;180.81;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'DRAGONFLY STOJĄCA';https://jasniej.com/19741-large_01resp/dragonfly-stojaca.jpg;'https://jasniej.com/19741-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19742-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19743-medium_01resp/dragonfly-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;DRAGONFLY STOJĄCA;8837;180.81;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'DRAGONFLY STOJĄCA';https://jasniej.com/19744-large_01resp/dragonfly-stojaca.jpg;'https://jasniej.com/19744-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19745-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19746-medium_01resp/dragonfly-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54;Specyficzne kody;Lutec;DRAGONFLY STOJĄCA;8835;158.67;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'DRAGONFLY STOJĄCA';https://jasniej.com/19738-large_01resp/dragonfly-stojaca.jpg;'https://jasniej.com/19738-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19739-medium_01resp/dragonfly-stojaca.jpg', 'https://jasniej.com/19740-medium_01resp/dragonfly-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;PADLIGHT STOJĄCA;8833;180.81;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'PADLIGHT STOJĄCA';https://jasniej.com/19732-large_01resp/padlight-stojaca.jpg;'https://jasniej.com/19732-medium_01resp/padlight-stojaca.jpg', 'https://jasniej.com/19733-medium_01resp/padlight-stojaca.jpg', 'https://jasniej.com/19734-medium_01resp/padlight-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;PADLIGHT STOJĄCA;8834;180.81;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'PADLIGHT STOJĄCA';https://jasniej.com/19735-large_01resp/padlight-stojaca.jpg;'https://jasniej.com/19735-medium_01resp/padlight-stojaca.jpg', 'https://jasniej.com/19736-medium_01resp/padlight-stojaca.jpg', 'https://jasniej.com/19737-medium_01resp/padlight-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;PADLIGHT STOJĄCA;8832;180.81;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'PADLIGHT STOJĄCA';https://jasniej.com/19729-large_01resp/padlight-stojaca.jpg;'https://jasniej.com/19729-medium_01resp/padlight-stojaca.jpg', 'https://jasniej.com/19730-medium_01resp/padlight-stojaca.jpg', 'https://jasniej.com/19731-medium_01resp/padlight-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908002337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;TABLE CUBE STOJĄCA;8831;158.67;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'TABLE CUBE STOJĄCA';https://jasniej.com/19726-large_01resp/table-cube-stojaca.jpg;'https://jasniej.com/19726-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19727-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19728-medium_01resp/table-cube-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;TABLE CUBE STOJĄCA;8829;103.32;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'TABLE CUBE STOJĄCA';https://jasniej.com/19720-large_01resp/table-cube-stojaca.jpg;'https://jasniej.com/19720-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19721-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19722-medium_01resp/table-cube-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;TABLE CUBE STOJĄCA;8828;103.32;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'TABLE CUBE STOJĄCA';https://jasniej.com/19717-large_01resp/table-cube-stojaca.jpg;'https://jasniej.com/19717-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19718-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19719-medium_01resp/table-cube-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908003331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 0K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;TABLE CUBE STOJĄCA;8830;114.39;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'TABLE CUBE STOJĄCA';https://jasniej.com/19723-large_01resp/table-cube-stojaca.jpg;'https://jasniej.com/19723-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19724-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19725-medium_01resp/table-cube-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;TABLE CUBE STOJĄCA;8827;103.32;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'TABLE CUBE STOJĄCA';https://jasniej.com/19714-large_01resp/table-cube-stojaca.jpg;'https://jasniej.com/19714-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19715-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19716-medium_01resp/table-cube-stojaca.jpg'
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44;Specyficzne kody;Lutec;TABLE CUBE STOJĄCA;8826;103.32;'Strona główna', 'Oświetlenie', 'Lampy zewnętrzne', 'Stojące zewnętrzne', 'TABLE CUBE STOJĄCA';https://jasniej.com/19711-large_01resp/table-cube-stojaca.jpg;'https://jasniej.com/19711-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19712-medium_01resp/table-cube-stojaca.jpg', 'https://jasniej.com/19713-medium_01resp/table-cube-stojaca.jpg'
